replrev,order_id,sess_id,isin_id,amount,amount_rest,id_deal,xstatus,price,price_scale,moment,moment_ns,dir,action,deal_price,deal_price_scale
247497241417,1953465969351327919,6899,3032021,1,1,0,4097,27544.00000,5,2023/10/04 18:58:00.716,1696435080716841867,2,1,0.00000,0
247497241418,1953465969351327920,6899,3032021,70,70,0,4097,25695.00000,5,2023/10/04 18:58:00.716,1696435080716972939,1,1,0.00000,0
247497241419,1953465969351327921,6899,3032021,40,40,0,4097,27270.00000,5,2023/10/04 18:58:00.717,1696435080717113297,2,1,0.00000,0
247497241423,1953465969351327922,6899,3032021,5,5,0,4097,26295.00000,5,2023/10/04 18:58:00.718,1696435080718158271,1,1,0.00000,0
247497241424,1953465969351327923,6899,3032021,1,1,0,4097,28345.00000,5,2023/10/04 18:58:00.718,1696435080718300570,2,1,0.00000,0
247497241429,1953465969351327926,6899,3032021,1,1,0,4097,25708.00000,5,2023/10/04 18:58:00.719,1696435080719126568,1,1,0.00000,0
247497241430,1953465969351327927,6899,3032021,5,5,0,4097,28400.00000,5,2023/10/04 18:58:00.719,1696435080719586565,2,1,0.00000,0
247497241437,1953465969351327931,6899,3032021,1,1,0,4097,27114.00000,5,2023/10/04 18:58:00.722,1696435080722239650,2,1,0.00000,0
247497241442,1953465969351327934,6899,3366187,1,1,0,4097,26470.00000,5,2023/10/04 18:58:00.723,1696435080723954043,1,1,0.00000,0
247497241444,1953465969351327935,6899,3032021,5,5,0,4097,26285.00000,5,2023/10/04 18:58:00.724,1696435080724249474,1,1,0.00000,0
247497241447,1953465969351327937,6899,3366187,1,1,0,4097,25270.00000,5,2023/10/04 18:58:00.724,1696435080724727996,1,1,0.00000,0
247497241449,1953465969351327938,6899,3032021,5,5,0,4097,26185.00000,5,2023/10/04 18:58:00.726,1696435080726458020,1,1,0.00000,0
247497241450,1953465969351327939,6899,3366187,1,1,0,4097,28651.00000,5,2023/10/04 18:58:00.726,1696435080726608001,2,1,0.00000,0
247497241454,1953465969351327941,6899,3366187,1,1,0,4097,26670.00000,5,2023/10/04 18:58:00.727,1696435080727538408,1,1,0.00000,0
247497241455,1953465969351327942,6899,3032021,2,2,0,4097,23416.00000,5,2023/10/04 18:58:00.727,1696435080727697089,1,1,0.00000,0
247497241456,1953465969351327943,6899,3032021,1,1,0,4097,27100.00000,5,2023/10/04 18:58:00.727,1696435080727834947,2,1,0.00000,0
247497241459,1953465969351327944,6899,3032021,1,1,0,4097,27110.00000,5,2023/10/04 18:58:00.728,1696435080728466706,2,1,0.00000,0
247497241460,1953465969351327945,6899,3032021,2,2,0,4097,24168.00000,5,2023/10/04 18:58:00.728,1696435080728611465,1,1,0.00000,0
247497241461,1953465969351327946,6899,3032021,1,1,0,4097,27090.00000,5,2023/10/04 18:58:00.728,1696435080728756040,2,1,0.00000,0
247497241463,1953465969351327947,6899,3032021,1,1,0,4097,23800.00000,5,2023/10/04 18:58:00.729,1696435080729052255,1,1,0.00000,0
247497241464,1953465969351327948,6899,3032021,16,16,0,4097,25800.00000,5,2023/10/04 18:58:00.729,1696435080729346203,1,1,0.00000,0
247497241466,1953465969351327950,6899,3032021,1,1,0,4097,27030.00000,5,2023/10/04 18:58:00.729,1696435080729682795,2,1,0.00000,0
247497241468,1953465969351327951,6899,3032021,1,1,0,4097,23400.00000,5,2023/10/04 18:58:00.729,1696435080729980352,1,1,0.00000,0
247497241469,1953465969351327952,6899,3032021,1,1,0,4097,27070.00000,5,2023/10/04 18:58:00.730,1696435080730128542,2,1,0.00000,0
247497241470,1953465969351327953,6899,3032021,5,5,0,4097,25783.00000,5,2023/10/04 18:58:00.730,1696435080730335580,1,1,0.00000,0
247497241473,1953465969351327955,6899,3032021,1,1,0,4097,27020.00000,5,2023/10/04 18:58:00.731,1696435080731109104,2,1,0.00000,0
247497241474,1953465969351327956,6899,3032021,5,5,0,4097,25779.00000,5,2023/10/04 18:58:00.731,1696435080731255579,1,1,0.00000,0
247497241477,1953465969351327958,6899,3032021,1,1,0,4097,26225.00000,5,2023/10/04 18:58:00.732,1696435080732047791,1,1,0.00000,0
247497241478,1953465969351327959,6899,3032021,1,1,0,4097,25579.00000,5,2023/10/04 18:58:00.732,1696435080732191876,1,1,0.00000,0
247497241481,1953465969351327961,6899,3032021,5,5,0,4097,25131.00000,5,2023/10/04 18:58:00.733,1696435080733057009,1,1,0.00000,0
247497241485,1953465969351327963,6899,3366187,1,1,0,4097,28993.00000,5,2023/10/04 18:58:00.734,1696435080734051813,2,1,0.00000,0
247497241494,1953465969351327966,6899,3032021,1,1,0,4097,27145.00000,5,2023/10/04 18:58:00.736,1696435080736363095,2,1,0.00000,0
247497241495,1953465969351327967,6899,3032021,1,1,0,4097,25900.00000,5,2023/10/04 18:58:00.736,1696435080736511142,1,1,0.00000,0
247497241496,1953465969351327968,6899,3032021,1,1,0,4097,27515.00000,5,2023/10/04 18:58:00.736,1696435080736663282,2,1,0.00000,0
247497241500,1953465969351327970,6899,3032021,2,2,0,4097,24197.00000,5,2023/10/04 18:58:00.737,1696435080737318626,1,1,0.00000,0
247497241502,1953465969351327971,6899,3366187,1,1,0,4097,26012.00000,5,2023/10/04 18:58:00.737,1696435080737749974,1,1,0.00000,0
247497241505,1953465969351327973,6899,3032021,1,1,0,4097,26205.00000,5,2023/10/04 18:58:00.738,1696435080738231565,1,1,0.00000,0
247497241509,1953465969351327975,6899,3032021,1,1,0,4097,26557.00000,5,2023/10/04 18:58:00.738,1696435080738951307,1,1,0.00000,0
